feature,threshold
29,10.552506814000001
34,0.5489426882
47,2.0
39,3.4836841844
1,1.0
36,2.4635134968
13,33.0
17,1.0
18,1.0
38,0.8966601776
5,0.204166583
22,603.199999999999
0,0.0
16,313302.80000000005
37,1.0
33,5.525362479799995
35,35.400000000000006
44,0.8152107204
10,0.5
45,11.743115914
47,1.0
44,0.910250535
8,0.0
47,1.0
30,1745.0000000000005
15,1.7880000000000003
2,0.9301305256000001
6,1.278312683
34,0.7090387497999999
0,0.0
44,0.4467213554
20,0.46
4,0.0
14,2.0
8,1.0
4,0.0
40,378.0
44,0.8363541136
36,3.2367177612000004
30,37.800000000000004
15,1.4
47,2.0
14,1.0
13,9.0
11,0.0
46,169.0
4,0.0
44,0.9940684770000001
22,10000.0
9,0.0
31,3.0
29,65.947858352
10,0.0
15,1.608
39,2.1163788867999997
0,0.5781200670000001
46,292.0
47,31.999999999999943
4,0.0
31,1.0
6,0.5920510738
48,30.851240236000002
10,0.0
28,1255.4000000000003
13,2.0
13,151.0
32,2.5417948952
7,1.0
45,96.99415109599988
48,2.495710606
48,66.940765778
46,245.60000000000014
28,766.8
36,2.385726641
30,321.4
41,101.05384142
11,0.693147181
17,1.0
42,6.800000000000011
11,0.0
47,10.400000000000034
28,21368.0
10,0.0
14,1.0
22,150.0
44,0.529484883
27,20414.0
48,0.0
11,0.15184271759999937
5,0.0
1,0.263392857
27,5640.4
6,0.45842711660000013
6,1.1663007772
48,11.86153653
29,86.31952714600001
40,197.0
46,1314.5999999999995
33,3.316356894
45,62.50867921
34,0.32958885239999997
10,0.0
17,2.0
3,1.0
32,16.077918251999996
5,0.209527358
9,1.0
30,963.2
5,0.2853864802
30,112.0
45,1.0015433116
38,6.307059548200003
12,0.0
20,0.0
35,8.400000000000006
45,3.727364091
13,316.0
22,3057.6
1,1.0
32,58.037820593999996
44,0.7483297044000001
4,0.0
29,20.681920339999998
41,80.0
19,1.0
27,114473.60000000002
12,2.542
34,1.0125645298000001
8,1.0
4,0.0
0,0.0
37,1.0
5,0.26771960840000003
17,1.0
12,2.33
17,1.0
31,2.0
20,0.0
47,1.0
48,88.00793794600001
9,1.0
9,1.0
16,148390.0
8,0.0
11,0.693147181
9,1.0
33,0.9633589707999999
27,967158.8
41,9.0
3,0.0
5,0.1104615846
3,1.0
5,0.0670081
3,1.0
18,1.0
9,1.0
10,0.0
38,1.52375316
20,0.0
16,29460.4
11,0.0
2,0.0
35,6.0
3,1.0
8,1.0
1,1.0
17,1.0
48,9.7339144772
48,37.05730812999998
45,1.0
47,3.0
4,0.0
15,2.53
47,1.0
3,1.0
43,4.8564020424
30,836.2000000000002
46,1.0
43,309.40899536000023
33,1.7581340775999998
9,0.0
10,0.17395169239999997
19,1.0
20,0.0
45,6.2310327278
17,1.0
8,1.0
41,7.469384797
34,1.071810881
5,0.14126432900000005
29,13.4516129
18,1.0
0,0.502723075
7,1.0
40,128.0
3,1.0
36,3.0503099168
38,1.8757091082000001
7,0.7824561404000001
0,0.4774786040000001
38,22.698297266000004
3,0.9499999999999993
6,0.8892760679999999
35,7.0
10,0.0
45,4.127778575999999
20,0.0
20,0.0
6,0.0
40,66.0
8,1.0
7,1.0
39,2.3222334694
9,0.0
2,0.5866240460000001
37,1.0
47,1.0
48,228.3201244
12,2.3
5,0.0
41,55.89999999999999
6,0.0
39,2.053389934
10,0.0
48,4.2895597034
18,1.0
43,51.28617952199998
3,0.0
36,2.371342079
16,1250538.6
1,1.0
28,284198.8000000003
17,1.0
11,0.0
38,0.3784391250000002
9,0.0
34,0.7818311824000004
31,72.40000000000003
16,2191365.0
13,8.0
30,161.2
31,11.0
3,0.0
29,105.03754875999999
6,0.0
44,0.7819222494
31,171.99999999999994
18,1.0
44,0.9989909179999998
7,0.4088888888000002
34,0.61724177
13,0.0
34,1.4695815375999999
15,0.0
20,1.2759999999999998
27,391001.0000000001
35,17.0
20,0.0
39,1.287892564
41,6.233157586
44,0.615564335
41,286.53399999999976
2,0.5712506495999999
19,1.0
33,2.226276035
42,4.0
34,0.910423124
6,0.16736796259999986
8,1.0
39,2.652535987
32,12.79368431
31,4.0
4,0.0
37,1.0
7,1.0
48,0.0
45,11.265873194000001
36,3.3865887612
39,3.8093891040000014
34,1.3968742842
0,0.547774702
19,1.0
32,83.13957664
34,0.676595135
3,1.0
31,2.0
1,0.5
27,80409.6
12,2.0
16,83070.0
46,68.39999999999998
16,6807.0
10,0.0
28,68779.0
28,132840.80000000002
37,1.0
44,0.5
36,2.0
41,28.010345546000007
4,0.0
8,1.0
39,2.5338060820000003
22,159.0
7,0.0
29,171.0
27,3531483.799999996
19,1.0
20,0.0
18,6.0
40,751.2
16,553566.0
17,1.0
29,30.567906976000003
11,0.5945987054000001
10,0.0
1,1.0
32,518.23105738
41,48.712322506
40,409.0
37,1.0
39,2.828930226
42,1.0
5,0.233483831
10,0.4927003674000002
48,39.2363915
29,139.30922816000003
18,1.0
33,1.9841484662000002
32,108.3295886
48,5.227549966000001
33,4.5117666136
13,20.599999999999994
20,0.0
7,0.6216723129999999
8,1.0
46,7335.9999999999945
14,2.0
7,0.5
31,5.199999999999989
48,46.85977823800001
47,2.0
2,0.0
37,1.0
3,1.0
2,0.819923768
20,0.0
5,0.166979854
34,1.2147617026000002
42,2.0
33,3.4812445016
40,1031.0
15,0.69
47,1.0
43,90.20552001
6,1.0714275516
35,9.200000000000017
34,0.7013054932
45,29.633953487999996
46,2.0
7,1.0
4,0.0
22,6437.599999999999
20,0.0
43,38.70852070000001
33,0.938021094
4,0.0
16,4674.400000000001
10,0.305414472
43,10.460921897999999
28,109701.0
14,1.0
22,146715.59999999974
14,2.0
14,2.0
9,0.0
36,2.5595745556000002
13,0.0
9,1.0
28,3153.599999999999
32,31.512820400000003
0,0.6233621612
36,2.292155386
0,0.5339536728
38,2.3563426935999994
47,1.0
42,2.0
28,15068.800000000005
36,3.8756571238
37,1.0
15,0.0
7,1.0
18,1.0
11,0.0
13,6.0
40,780.0
42,72.40000000000003
39,0.25002931300000003
46,358.8
41,17.454038748000002
27,4473.2
33,2.7379733438000002
37,2.0
11,0.0
37,1.0
19,1.0
13,201.0
19,1.0
10,0.45593857419999995
28,6352.0
48,14.77602003
29,47.629747552000026
42,130.39999999999992
28,2046.0
41,19.68017607
19,1.0
32,64.459975336
42,5.0
40,161.0
0,0.3834417762
30,81.8
29,17.499300215999998
43,8.649566405
28,463512.6
9,0.0
12,0.0
40,511.8
31,1.0
14,2.0
5,0.0
45,25.782644058000002
31,3.0
34,1.069453853
12,2.7180000000000004
33,2.6627544710000004
30,145.8
39,1.8487580066
35,75.0
30,4997.800000000005
30,426.0
15,5.520000000000001
18,1.0
1,0.6216723129999999
6,1.3662762119999998
41,5.860349127
30,198.0
28,76190.0
43,433.1668086799999
31,3.0
27,31219.0
18,1.0
36,2.5381289355999996
32,18.198265418
27,10032.200000000003
18,2.0
42,3.0
19,1.0
46,103.0
11,0.325798272
36,3.67691249
2,0.6869639748
13,353.19999999999993
14,1.0
32,139.32165674
14,1.0
14,2.0
3,0.0
7,0.0
33,1.28403267
1,0.5
32,231.95784564
39,1.741119899
28,150587.8
1,0.8779411764
27,536059.3999999997
7,0.5
32,6.2630765230000005
37,1.0
5,0.15680177580000002
47,1.0
43,6.6962134462
18,1.0
16,175666.39999999997
47,2.0
31,1.0
44,0.6570649256
2,0.0
4,0.0
16,16947.399999999987
30,999.0
40,53.2
46,583.0
22,72.0
36,4.963636363599999
15,2.177999999999999
33,3.7505045862
22,301.0
17,2.628000000000003
22,49770.0
28,11382.800000000003
40,4097.0
17,1.0
33,1.6298731622
31,2.0
31,24.599999999999994
37,1.0
34,1.141702302
34,0.828313752
2,0.17302042659999964
14,1.0
18,1.0
42,2.0
1,1.0
32,28.811331352000003
44,0.2977447982
12,35.47799999999995
41,35.34837027199999
46,5085.000000000001
12,3.88
12,2.57
17,5.015999999999999
36,31.949799147999983
16,0.0
37,1.0
20,0.0
44,0.964866288
15,0.0
9,1.0
11,0.0
9,1.0
38,2.882349754
17,1.0
42,34.19999999999999
19,1.0
8,1.0
30,2929.599999999999
12,2.9880000000000004
41,15.369215195999999
10,0.215862779
11,0.0
27,755089.0
20,0.0
7,1.0
2,0.496330419
10,0.0
19,1.0
39,3.0339987496000003
19,1.0
29,10.25985322
19,2.0
33,1.9090847702
40,18788.399999999994
1,0.0
47,1.0
30,592.6000000000001
18,1.0
35,171.8
5,0.3849293855999998
22,1768.0
15,1.01
28,37379.000000000015
17,1.0
8,1.0
43,6.3351559152
8,1.0
31,6.0
6,1.4839596285999996
6,0.09453645639999997
19,1.0
0,0.12813408139999974
12,4.846000000000006
44,0.9354140798000001
27,303473.0
44,0.5812380666000001
33,0.528737464
46,27.0
15,7.12
34,0.12396981660000006
9,1.0
6,1.6749766484
11,0.0
27,58638.39999999995
28,43722.2
43,124.48617252000003
35,22.0
35,7.0
0,0.6398252179999999
39,1.0606750812
22,1222.0000000000002
27,154379.0
43,31.82552292
11,0.0
35,11.0
2,0.6298138273999998
45,18.97601155
19,1.0
18,1.0
29,26.618239652
7,1.0
12,3.41
43,187.87577478
15,0.83
5,0.2991652464
36,2.638778904
27,1591949.6000000006
40,84.4
3,1.0
7,1.0
30,7845.200000000001
6,1.9551888884
30,667.0
17,1.0
10,0.0
