feature,threshold
8,430.0
32,20.77999973297119
10,0.024999999441206455
8,40.5
33,0.06000000052154064
41,2.5
29,26.5
34,0.925000011920929
10,0.36500000953674316
34,0.9150000214576721
25,0.7749999761581421
45,0.7250000238418579
30,83.59500122070312
20,26.5
34,0.925000011920929
10,0.024999999441206455
12,0.03499999921768904
23,0.5799999833106995
45,0.3050000071525574
25,0.9750000238418579
37,6.5
44,0.4950000047683716
39,5.0
36,192.0
31,602.2050018310547
0,2351.5
20,44.5
3,0.824999988079071
37,0.5
45,0.9900000095367432
32,391.4049987792969
2,21.9350004196167
16,0.044999999925494194
34,0.925000011920929
3,0.5849999785423279
39,7.5
10,0.19999999552965164
32,102.45499801635742
10,0.33500000834465027
11,0.9050000011920929
25,0.9200000166893005
31,431.43499755859375
45,0.9900000095367432
36,94.0
8,430.0
25,0.7649999856948853
3,0.7399999797344208
33,0.0400000000372529
41,2.5
36,83.5
45,0.7250000238418579
45,0.8149999976158142
26,0.019999999552965164
28,17.0
25,0.6200000047683716
3,0.824999988079071
23,0.8849999904632568
8,214.5
28,328.0
37,6.5
44,0.14500000327825546
8,219.0
31,182.04000091552734
44,0.6649999916553497
16,0.07500000111758709
44,0.6649999916553497
16,0.044999999925494194
4,175.0
10,0.024999999441206455
44,0.4950000047683716
16,0.044999999925494194
14,0.08500000089406967
6,7.5
5,921.5
45,0.8149999976158142
8,862.5
20,46.5
4,31.5
2,110.04500198364258
20,23.5
46,23.0
16,0.044999999925494194
2,11.950000286102295
32,785.2749938964844
25,0.925000011920929
24,0.5149999856948853
25,0.7749999761581421
44,0.23000000417232513
44,0.6649999916553497
23,0.8849999904632568
4,175.0
34,0.8799999952316284
13,0.08500000089406967
13,0.08500000089406967
34,0.925000011920929
23,0.8849999904632568
14,0.13500000163912773
24,0.5149999856948853
9,223.5
13,0.12999999895691872
2,217.43000030517578
2,11.950000286102295
8,214.5
44,0.6649999916553497
8,429.5
5,433.5
10,0.024999999441206455
41,2.5
25,0.9050000011920929
0,25811.0
37,5.5
39,5.0
25,0.7649999856948853
36,109.0
45,0.9900000095367432
20,26.5
10,0.024999999441206455
8,219.0
0,444274.5
5,56.5
20,44.5
25,0.7450000047683716
45,0.9900000095367432
1,0.014999999664723873
12,0.03499999921768904
45,0.9900000095367432
45,0.9900000095367432
1,0.24499999731779099
36,94.0
10,0.0400000000372529
34,0.925000011920929
43,2.5
44,0.4650000035762787
23,0.8849999904632568
34,0.925000011920929
27,0.044999999925494194
37,76.0
16,0.11999999731779099
9,50.5
34,0.925000011920929
28,688.5
5,921.5
32,90.12999725341797
7,47.0
1,0.24499999731779099
37,0.5
31,166.0500030517578
0,366712.5
20,74.5
14,0.08500000089406967
10,0.024999999441206455
31,4.525000095367432
38,2.5
6,434.5
39,5.5
24,0.7899999916553497
35,61.0
3,0.7049999833106995
29,26.0
39,5.5
28,159.0
25,0.7450000047683716
41,2.5
