Loandra,SATLike,LinSBPS2018,sls-mcs,sls-mcs-lsu,Open-WBO-g,Open-WBO-ms
1,1,1,1,1,1,0.9951
0.9854,1,0.9963,1,1,0.9854,0.989
0.9958,1,0.9958,1,1,0.952,0.9444
1,1,0.9673,1,1,0.9634,0.9518
0,1,1,1,1,0,0
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,0.9773,1,0.9773,1,1,1
1,0.9333,1,0.9655,0.9655,1,0.9492
1,0.973,1,1,1,1,1
1,0.9474,1,0.9474,0.973,1,1
1,0.9821,0.9821,0.9821,0.9821,0.9821,0
1,1,1,1,1,1,0
1,0.9492,1,0.9492,0.9492,0.9825,0.9825
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,0.9583,0.9583
1,0.9583,1,0.92,0.92,0.9583,0.9583
0.8447,1,0.8291,0.9902,0.9328,0.2327,0.2317
0.9559,0.8985,0.8985,1,1,0.8873,0.8841
1,1,1,1,1,0.7064,0.4709
0.8148,0.8527,1,1,1,0.6587,0.7692
0.8929,0.9868,0.8523,1,0.9868,0.7576,0.8065
0.978,0.9511,0.2438,1,1,0.0362,0.0362
1,1,1,1,1,0.6111,0.5238
1,0.9944,0.9843,0.9256,0.9294,0.8693,0.7967
0.9929,1,0.9821,0.9017,0.9017,0.8718,0.7772
1,0.9776,0.7961,0.8777,0.8961,0.5889,0.5883
0.8405,0.829,0.8312,1,0.9697,0.8252,0.8209
1,0.9574,1,0.8654,0.8654,0.8333,0.9375
0.9565,1,1,1,1,0.7333,0.6875
1,0.9412,1,0.7619,0.7619,0.0988,1
1,1,1,1,1,0.3311,0.4507
1,0.5682,1,0.6579,0.6579,0.7576,0.3049
1,0.6341,1,0.619,0.619,0.963,0.6842
1,0.7813,1,0.8333,0.8333,0.8929,0.9259
1,0.7,1,0.7778,0.875,0.4667,0.913
1,0.675,1,0.7297,0.5625,0.9643,0.9643
1,0.4561,1,0.5417,0.5417,0.6842,0.5909
0.616,0.6771,0.6771,0.8543,1,0.5101,0.7296
1,0.7876,0.0517,0.1591,0.1632,0.0222,0.0352
0.0347,0.0367,0.0369,1,0.8019,0.0296,0.3066
1,0.9332,0.9117,0.8798,0.8667,0.2066,0.8368
1,0.2523,0.2526,0,0,0.207,0.3714
1,0.9824,0.9901,0.9919,0.9287,0.8334,0.8351
1,1,0.9957,0.9872,0.9872,0.9587,0.8992
1,0.996,0.9862,0.996,0.996,0.9728,0.9259
1,0.9641,0.9641,0.9055,0.8686,0.9111,0.9281
0.975,1,1,0.9096,0.8805,0.8983,0.9194
0.994,1,0.9928,0.9038,0.9102,0.9478,0.9297
